Status,Replacement Status,Item Name,SKU,REPLACE_WITH,Old,Simple Name,Child Name
Current,,"Jamaican Jerk Rub Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Beef, Seafood, Vegetables, Salad, Tacos, Pizza, Pasta - Kosher, Gluten-Free, Dairy-Free, Vegan",RB-JMJR,RB-JMJR,,,#N/A
Current,,"Honey BBQ Rub Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Beef, Seafood, Vegetables, Salad, Tacos, Pizza, Beans, Ravioli, & Pasta - Kosher, Gluten-Free",RB-HNBQ,RB-HNBQ,,,#N/A
Current,,"Himalayan Salt & Pink Peppercorn Finisher by Flavor God - Premium All Natural & Healthy Spice Blend for Eggs, Pork, Beef, Vegetables, Dips Kosher, Gluten-Free, Dairy-Free, Paleo, Vegan, Keto-Friendly",FS-HSPP,FS-HSPP,,,#N/A
Current,,"Garlic & Herb Salt Finisher by Flavor God - Premium All Natural & Healthy Spice & Seasoning Mix Blend for Chicken, Beef, Seafood & Vegetables - Kosher, Low Sodium, Dairy-Free, Vegan & Keto Friendly",FS-GRHS,FS-GRHS,,,#N/A
Current,,"Dessert Topper 4 Bottle Combo by Flavor God Seasonings, Natural Healthy Blend for Coffee, Oatmeal",DCP-4TPRS,,,"Dessert Topper 4 Bottle Combo (CD, GC, BCR, PP)",Chocolate Donut Topper
Current,,Foodie Combo Pack (7 Set),CP-FOODIE-7,,,"Foodie Combo Pack (Garlic Lovers, Italian Zest, Taco Tuesday, Pizza, Everything Spicy, Cheese Flavor & Mystery Flavor), Pack of 7",Garlic Lover's Seasoning
Current,,"Cold Stone Creamery Ice Cream Seasoning Toppers by FlavorGod (4-Pack) - Healthy Dessert Toppers - 0 Calories, 0 Sodium, Kosher - Try with Coffee, Yogurt, Ice Cream, & Fruit - Dessert Lover Combo",CP-DSRTCS-4,,,"Dessert Lovers (BCR, CD, CSVW, CSC)",Chocolate Donut Topper
Current,,"Flavor God Dynamic Dessert Duo Pack of 2 Seasoning Topper Gift Set, Buttery Cinnamon Roll & Chocolate Donut, Natural Healthy Blend For Donuts, Fruit Ice Cream, Coffee, Low Sodium, Gluten & Dairy Free",CP-DSRT-2,,,"Dessert Duo Pack of 2 Toppers, Buttery Cinnamon Roll & Chocolate Donut",Buttery Cinnamon Roll Topper
Current,,"Cold Stone Ice Cream Seasoning Toppers by FlavorGod - Healthy Dessert Toppers - 0 Calories, 0 Sodium, Kosher, Made in USA (Vanilla Waffle Cone)",CLST-VNWC,CLST-VNWC,,,#N/A
Current,,"Cold Stone Ice Cream Seasoning Toppers by FlavorGod - Healthy Dessert Toppers - 0 Calories, 0 Sodium, Kosher, Made in USA (Cheesecake)",CLST-CHSK,CLST-CHSK,,,#N/A
